08:28:46.909 INFO  SIP2_GIS_SERVICE. [List Show] 
08:55:26.021 INFO  SIP2_GIS_SERVICE. [List Show] 
09:06:37.991 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504285] [77.2654095], [Live Location] 
09:06:38.002 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504285] [77.2654095], [Live Location] 
09:06:39.802 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654526], [Live Location] 
09:06:39.820 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654526], [Live Location] 
09:06:49.844 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654526], [Live Location] 
09:06:49.861 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515084] [77.2654526], [Live Location] 
09:06:59.917 INFO  SIP2_GIS_SERVICE.[9650560987] [28.551508] [77.2654447], [Live Location] 
09:06:59.933 INFO  SIP2_GIS_SERVICE.[9650560987] [28.551508] [77.2654447], [Live Location] 
09:07:09.864 INFO  SIP2_GIS_SERVICE.[9650560987] [28.551508] [77.2654447], [Live Location] 
09:07:09.881 INFO  SIP2_GIS_SERVICE.[9650560987] [28.551508] [77.2654447], [Live Location] 
09:07:10.022 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504272] [77.2654097], [Live Location] 
09:07:10.040 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504272] [77.2654097], [Live Location] 
09:07:10.121 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5491767] [77.27602], [Live Location] 
09:07:10.139 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5491767] [77.27602], [Live Location] 
09:07:20.725 INFO  SIP2_GIS_SERVICE.[9650560987] [28.551508] [77.2654447], [Live Location] 
09:07:20.742 INFO  SIP2_GIS_SERVICE.[9650560987] [28.551508] [77.2654447], [Live Location] 
09:07:29.906 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515119] [77.2654453], [Live Location] 
09:07:29.922 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515119] [77.2654453], [Live Location] 
09:07:35.498 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5543967] [77.2653525], [Live Location] 
09:07:35.512 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5543967] [77.2653525], [Live Location] 
09:07:38.876 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504289] [77.2654115], [Live Location] 
09:07:38.893 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504289] [77.2654115], [Live Location] 
09:07:39.904 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515119] [77.2654453], [Live Location] 
09:07:39.920 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515119] [77.2654453], [Live Location] 
09:07:49.923 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515119] [77.2654453], [Live Location] 
09:07:49.936 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515119] [77.2654453], [Live Location] 
09:07:59.903 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514998] [77.2654686], [Live Location] 
09:07:59.925 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5514998] [77.2654686], [Live Location] 
09:08:05.745 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5517856] [77.2639828], [Live Location] 
09:08:05.758 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5517856] [77.2639828], [Live Location] 
09:08:07.311 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5503362] [77.2654369], [Live Location] 
09:08:07.325 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5503362] [77.2654369], [Live Location] 
